product_category_name,total_orders,average_reviews,dissatisfied_customers,dissatisfied_rate,category_segmentation
agro_industria_e_comercio,177,4.107344632768362,22,12.429378531073446,Strong_Category
alimentos,437,4.327231121281464,44,10.068649885583524,Strong_Category
alimentos_bebidas,221,4.4457013574660635,9,4.072398190045249,Strong_Category
artes,193,4.098445595854923,27,13.989637305699482,Critical_Category
artigos_de_natal,123,4.1138211382113825,14,11.38211382113821,Strong_Category
audio,345,3.8391304347826085,75,21.73913043478261,Critical_Category
automotivo,3791,4.14560801899235,491,12.95172777631232,Dissatisfaction_Risk
bebes,2787,4.103516325798349,398,14.280588446358092,Dissatisfaction_Risk
bebidas,287,4.2369337979094075,29,10.104529616724738,Strong_Category
beleza_saude,8601,4.229488819129559,982,11.417277060806882,Strong_Category
brinquedos,3773,4.238139411608799,429,11.370262390670554,Strong_Category
cama_mesa_banho,9177,3.999291707529694,1459,15.898441756565326,Critical_Category
casa_conforto,390,3.887179487179487,73,18.71794871794872,Critical_Category
casa_construcao,481,3.9854469854469854,83,17.255717255717258,Critical_Category
cine_foto,63,4.333333333333333,7,11.11111111111111,Strong_Category
climatizacao,242,4.115702479338843,34,14.049586776859504,Dissatisfaction_Risk
consoles_games,1009,4.177898909811694,112,11.10009910802775,Strong_Category
construcao_ferramentas_construcao,731,4.125170998632011,97,13.269493844049249,Dissatisfaction_Risk
construcao_ferramentas_ferramentas,94,4.425531914893617,8,8.51063829787234,Strong_Category
construcao_ferramentas_iluminacao,239,4.150627615062762,25,10.460251046025103,Strong_Category
construcao_ferramentas_jardim,190,4.247368421052632,23,12.105263157894736,Strong_Category
construcao_ferramentas_seguranca,158,3.9746835443037973,27,17.088607594936708,Critical_Category
cool_stuff,3531,4.216935712262815,398,11.271594449164542,Strong_Category
dvds_blu_ray,56,4.196428571428571,8,14.285714285714285,Dissatisfaction_Risk
eletrodomesticos,744,4.216173835125448,80,10.75268817204301,Strong_Category
eletrodomesticos_2,226,4.150442477876106,28,12.389380530973451,Strong_Category
eletronicos,2498,4.124499599679744,330,13.210568454763811,Dissatisfaction_Risk
eletroportateis,604,4.256622516556291,70,11.589403973509933,Strong_Category
esporte_lazer,7485,4.227588510354042,851,11.36940547762191,Strong_Category
fashion_bolsas_e_acessorios,1811,4.242131419105466,184,10.160132523467698,Strong_Category
fashion_calcados,231,4.274891774891775,25,10.822510822510822,Strong_Category
fashion_roupa_masculina,105,3.8190476190476192,24,22.857142857142858,Critical_Category
fashion_underwear_e_moda_praia,116,4.008620689655173,19,16.379310344827587,Critical_Category
ferramentas_jardim,3428,4.180863477246207,419,12.222870478413068,Strong_Category
industria_comercio_e_negocios,229,4.218340611353712,24,10.480349344978166,Strong_Category
informatica_acessorios,6498,4.081717451523546,941,14.481378885811019,Critical_Category
instrumentos_musicais,605,4.234710743801653,71,11.735537190082644,Strong_Category
livros_importados,50,4.44,5,10.0,Strong_Category
livros_interesse_geral,491,4.5336048879837065,31,6.313645621181263,Strong_Category
livros_tecnicos,255,4.427450980392157,24,9.411764705882353,Strong_Category
malas_acessorios,1015,4.370443349753694,83,8.177339901477833,Strong_Category
market_place,272,4.088235294117647,33,12.132352941176471,Low_Satisfaction
moveis_cozinha_area_de_servico_jantar_e_jardim,239,4.125523012552302,27,11.297071129707113,Strong_Category
moveis_decoracao,6260,4.057987220447284,958,15.303514376996805,Critical_Category
moveis_escritorio,1244,3.642684887459807,273,21.94533762057878,Critical_Category
moveis_quarto,90,4.2555555555555555,11,12.222222222222221,Strong_Category
moveis_sala,409,4.070904645476773,58,14.180929095354522,Critical_Category
papelaria,2251,4.294757885384274,226,10.039982230119946,Strong_Category
pcs,174,4.224137931034483,20,11.494252873563218,Strong_Category
perfumaria,3076,4.260890767230169,363,11.801040312093628,Strong_Category
pet_shop,1680,4.273809523809524,179,10.654761904761905,Strong_Category
portateis_casa_forno_e_cafe,72,4.430555555555555,5,6.944444444444445,Strong_Category
relogios_presentes,5452,4.120873074101247,746,13.683052090975789,Dissatisfaction_Risk
sinalizacao_e_seguranca,137,4.116788321167883,16,11.678832116788321,Strong_Category
tablets_impressao_imagem,77,4.1558441558441555,10,12.987012987012985,Dissatisfaction_Risk
telefonia,4069,4.051855492750062,575,14.13123617596461,Critical_Category
telefonia_fixa,209,3.9665071770334928,35,16.74641148325359,Critical_Category
utilidades_domesticas,5709,4.1944298476090385,671,11.753371868978805,Strong_Category
